pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
29.5,-67.52,90.0,bottom,C1,,,C_0402_1005Metric,10uF,smt
72.7,-108.0125,0.0,bottom,C10,,,C_0402_1005Metric,0.1uF,smt
34.6,-127.0625,0.0,bottom,C11,,,C_0402_1005Metric,0.1uF,smt
53.65,-127.0625,0.0,bottom,C12,,,C_0402_1005Metric,0.1uF,smt
72.7,-127.0625,0.0,bottom,C13,,,C_0402_1005Metric,0.1uF,smt
45.0,-33.5,-90.0,bottom,C14,,,C_0402_1005Metric,10uF,smt
34.6,-69.9125,0.0,bottom,C2,,,C_0402_1005Metric,0.1uF,smt
53.65,-69.9125,0.0,bottom,C3,,,C_0402_1005Metric,0.1uF,smt
72.7,-69.9125,0.0,bottom,C4,,,C_0402_1005Metric,0.1uF,smt
34.6,-88.9625,0.0,bottom,C5,,,C_0402_1005Metric,0.1uF,smt
53.65,-88.9625,0.0,bottom,C6,,,C_0402_1005Metric,0.1uF,smt
72.7,-88.9625,0.0,bottom,C7,,,C_0402_1005Metric,0.1uF,smt
34.6,-108.0125,0.0,bottom,C8,,,C_0402_1005Metric,0.1uF,smt
53.65,-108.0125,0.0,bottom,C9,,,C_0402_1005Metric,0.1uF,smt
81.28,-103.0425,90.0,bottom,D10,,,D_0402_1005Metric,D,smt
43.18,-122.0925,90.0,bottom,D11,,,D_0402_1005Metric,D,smt
62.23,-122.0925,90.0,bottom,D12,,,D_0402_1005Metric,D,smt
81.28,-122.0925,90.0,bottom,D13,,,D_0402_1005Metric,D,smt
43.18,-64.9425,90.0,bottom,D2,,,D_0402_1005Metric,D,smt
62.23,-64.9425,90.0,bottom,D3,,,D_0402_1005Metric,D,smt
81.28,-64.9425,90.0,bottom,D4,,,D_0402_1005Metric,D,smt
43.18,-83.9925,90.0,bottom,D5,,,D_0402_1005Metric,D,smt
62.23,-83.9925,90.0,bottom,D6,,,D_0402_1005Metric,D,smt
81.28,-83.9925,90.0,bottom,D7,,,D_0402_1005Metric,D,smt
43.18,-103.0425,90.0,bottom,D8,,,D_0402_1005Metric,D,smt
62.23,-103.0425,90.0,bottom,D9,,,D_0402_1005Metric,D,smt
76.2,-100.0125,0.0,top,LED10,,,MX_SK6812MINI-E,SK6812,tht
38.1,-119.0625,0.0,top,LED11,,,MX_SK6812MINI-E,SK6812,tht
57.15,-119.0625,0.0,top,LED12,,,MX_SK6812MINI-E,SK6812,tht
76.2,-119.0625,0.0,top,LED13,,,MX_SK6812MINI-E,SK6812,tht
38.1,-61.9125,0.0,top,LED2,,,MX_SK6812MINI-E,SK6812,tht
57.15,-61.9125,0.0,top,LED3,,,MX_SK6812MINI-E,SK6812,tht
76.2,-61.9125,0.0,top,LED4,,,MX_SK6812MINI-E,SK6812,tht
38.1,-80.9625,0.0,top,LED5,,,MX_SK6812MINI-E,SK6812,tht
57.15,-80.9625,0.0,top,LED6,,,MX_SK6812MINI-E,SK6812,tht
76.2,-80.9625,0.0,top,LED7,,,MX_SK6812MINI-E,SK6812,tht
38.1,-100.0125,0.0,top,LED8,,,MX_SK6812MINI-E,SK6812,tht
57.15,-100.0125,0.0,top,LED9,,,MX_SK6812MINI-E,SK6812,tht
39.08,-30.0,180.0,bottom,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,330ohm,tht
69.75,-39.5,0.0,top,SW1,,,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,RotaryEncoder_Switch_MP,tht
76.2,-100.0125,0.0,top,SW10,,,SW_Hotswap_Kailh_Choc_V1,SW_Push,smt
38.1,-119.0625,0.0,top,SW11,,,SW_Hotswap_Kailh_Choc_V1,SW_Push,smt
57.15,-119.0625,0.0,top,SW12,,,SW_Hotswap_Kailh_Choc_V1,SW_Push,smt
76.2,-119.0625,0.0,top,SW13,,,SW_Hotswap_Kailh_Choc_V1,SW_Push,smt
38.1,-61.9125,0.0,top,SW2,,,SW_Hotswap_Kailh_Choc_V1,SW_Push,smt
57.15,-61.9125,0.0,top,SW3,,,SW_Hotswap_Kailh_Choc_V1,SW_Push,smt
76.2,-61.9125,0.0,top,SW4,,,SW_Hotswap_Kailh_Choc_V1,SW_Push,smt
38.1,-80.9625,0.0,top,SW5,,,SW_Hotswap_Kailh_Choc_V1,SW_Push,smt
57.15,-80.9625,0.0,top,SW6,,,SW_Hotswap_Kailh_Choc_V1,SW_Push,smt
76.2,-80.9625,0.0,top,SW7,,,SW_Hotswap_Kailh_Choc_V1,SW_Push,smt
38.1,-100.0125,0.0,top,SW8,,,SW_Hotswap_Kailh_Choc_V1,SW_Push,smt
57.15,-100.0125,0.0,top,SW9,,,SW_Hotswap_Kailh_Choc_V1,SW_Push,smt
55.5,-37.3185,180.0,bottom,U1,,,XIAO-nRF52840-DIP,XIAO-nRF52840-DIP,smt
32.0,-38.5,180.0,bottom,U2,,,SOIC127P600X175-14N,SN74AHCT125DR,smt
